Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
History,Tsar Bomba Detonation Site,1213,73.80720,54.98170,0,31.00524,Bushtalk Radio,"The Soviet RDS-220 hydrogen bomb, known to the Western nations as Tsar Bomba was a hydrogen aerial bomb and was the most powerful nuclear weapon ever created and tested.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1213",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Battle of Hastings,1224,50.91190,0.48750,0,0.66712,Bushtalk Radio,"The Battle of Hastings was fought on 14 October 1066 between the Norman-French army of William, the Duke of Normandy, and an English army under the Anglo-Saxon King Harold Godwinson, beginning the Norman conquest of England.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1224",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Battle of Fort Sumter,1244,32.75220,-79.87470,0,-8.23250,Bushtalk Radio,"The Battle of Fort Sumter was the bombardment of Fort Sumter near Charleston, South Carolina by the South Carolina militia, and the return gunfire and subsequent surrender by the United States Army, that started the American Civil War.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1244",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Battle of Bunker Hill,1245,42.37640,-71.06080,0,-14.07259,Bushtalk Radio,"The Battle of Bunker Hill was fought on June 17, 1775, during the Siege of Boston in the early stages of the American Revolutionary War.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1245",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Battle of Bạch Đằng (1288),1250,20.93700,106.62900,0,-1.86559,Bushtalk Radio,"The Battle of Bạch Đằng was one of the greatest victories in Vietnamese military history.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1250",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Omaha Beach,1274,49.37071,-0.87972,0,0.49743,Bushtalk Radio,"Omaha, commonly known as Omaha Beach, was the code name for one of the five sectors of the Allied invasion of German-occupied France in the Normandy landings on June 6, 1944, during World War II.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1274",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Obljaj,1283,44.17830,16.38860,0,4.53633,Bushtalk Radio,"Obljaj is a village near Bosansko Grahovo in Bosnia and Herzegovina. The perpratrator for the assasination of Arch Franz Ferdinand of Austria  was born here.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1283",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,L'Anse aux Meadows National Historic Site,1294,51.59640,-55.53330,0,-19.01592,Bushtalk Radio,"L'Anse aux Meadows is an archaeological site on the northernmost tip of the Great Northern Peninsula on the island of Newfoundland in the Canadian province of Newfoundland and Labrador.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1294",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Mozu Tombs,1303,34.56400,135.48700,0,-7.90865,Bushtalk Radio,"The Mozu Tombs are a group of megalithic tombs in Sakai, Osaka Prefecture, Japan.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1303",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Ocmulgee Mounds National Historical Park,1306,32.83670,-83.60830,0,-5.78224,Bushtalk Radio,"Ocmulgee Mounds National Historical Park in present-day Macon, Georgia, United States preserves traces of over ten millennia of culture from the American Indians in the Southeastern Woodlands.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1306",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Etowah Indian Mounds,1308,34.12510,-84.80770,0,-5.47834,Bushtalk Radio,"Etowah Indian Mounds are a 54-acre archaeological site in Bartow County, Georgia south of Cartersville, in the United States.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1308",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Battle of Red Cliffs,1319,29.86970,113.62000,0,-4.48414,Bushtalk Radio,"The Battle of Red Cliffs, otherwise known as the Battle of Chibi, was a decisive naval battle in the winter of AD 208–9 at the end of the Han dynasty, about twelve years prior to the beginning of the Three Kingdoms period in Chinese history.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1319",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Battle of Fancheng,1320,32.04500,112.13600,0,-4.71620,Bushtalk Radio,"The Battle of Fancheng or the Battle of Fan Castle was fought between the warlords Liu Bei and Cao Cao in 219 in the late Eastern Han dynasty.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1320",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Forest of Compiègne,1324,49.38000,2.88340,0,1.37176,Bushtalk Radio,"The Forest of Compiègne is a large forest in the region of Picardy, France, near the city of Compiègne and approximately 60 kilometres north of Paris.

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1324",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
History,Battle of Fuzhou,1331,25.97690,119.45100,0,-4.77779,Bushtalk Radio,"The Battle of Fuzhou, or Battle of Foochow, also known as the Battle of the Pagoda Anchorage, was the opening engagement of the 16-month Sino-French War .

Bushtalk Radio URL: https://bushtalkradio.com/?landmark=1331",,250,2021-04-20T18:12:44,/home/alex/Downloads/Bushtalk/bushtalkradio-littlenavmap-poi.csv
