vor_id,ident,region,lonx,laty
1,ITA,A1,164.10394722,-74.69143611
2,ZFX,A1,166.751175,-77.94690556
3,ZWD,A1,166.99724722,-77.86903889
4,HN,AG,160.03730556,-9.43511111
5,NI,AN,166.92083333,-0.54388889
6,BUK,AY,154.66716667,-5.44301667
7,GBE,AY,143.6791,-6.89031667
8,GNY,AY,150.36188333,-10.31576667
9,GUA,AY,148.25368333,-8.74493333
10,HKN,AY,150.41428333,-5.45903333
11,KIU,AY,141.28683333,-6.12186667
12,KVG,AY,150.81396667,-2.58551667
13,MD,AY,145.77678333,-5.21163333
14,MH,AY,144.30853333,-5.83786667
15,MOE,AY,147.42666667,-2.06166667
16,MOR,AY,143.25418333,-6.36286667
17,NZ,AY,146.70895,-6.56833333
18,OKT,AY,141.3187,-5.4099
19,PY,AY,147.215,-9.45333333
20,TK,AY,152.3976,-4.34653333
21,VNO,AY,141.30323333,-2.67855
22,WK,AY,143.67605,-3.5834
23,YXM,AY,142.87279167,-6.05549722
24,AS,BG,-52.79275278,68.71941944
25,JA,BG,-51.06081111,69.24028611
26,MS,BG,-52.93003889,65.41163611
27,NOR,BG,-16.66533333,81.59827778
28,NQ,BG,-45.40708889,61.16041389
29,PA,BG,-49.67179444,62.01194444
30,QA,BG,-52.696175,70.73247222
31,QN,BG,-69.37295278,77.48738889
32,SS,BG,-53.73225833,66.95055556
33,THT,BG,-68.23922778,76.54242222
34,UK,BG,-56.12775556,72.78800556
35,AKI,BI,-18.00411111,65.75980556
36,HL,BI,-20.27216667,63.42013889
37,ING,BI,-16.63805556,63.80305556
38,KFV,BI,-22.61513889,63.98288889
39,OG,BI,-22.68288889,66.04366667
40,4A,CY,-110.60916667,64.69805556
41,5F,CY,-116.75194444,54.37861111
42,5U,CY,-115.94583333,58.40333333
43,6G,CY,-113.88265833,52.18118611
44,9S,CY,-124.49916667,49.83555556
45,E3,CY,-113.82333333,55.96333333
46,GX,CY,-94.70361111,56.35722222
47,I5Q,CY,-71.16027778,54.55611111
48,IV,CY,-94.65333333,53.85333333
49,NE,CY,-97.84166667,53.97194444
50,P2,CY,-113.41111111,52.96702222
51,PL,CY,-90.22277778,51.44361111
52,UAU,CY,-89.32878056,48.37342222
53,UAW,CY,-63.49995556,44.63314722
54,ULT,CY,-62.31152778,82.51730556
55,UOD,CY,-110.29583333,54.40861111
56,UQQ,CY,-124.89444444,49.7125
57,UTR,CY,-77.52888889,44.12138889
58,UYR,CY,-60.41666667,53.31972222
59,UZX,CY,-64.91944444,44.98333333
60,V6,CY,-119.23444444,50.68555556
61,VBI,CY,-94.04673611,49.47692222
62,VBS,CY,-71.26916667,48.01722222
63,VIE,CY,-77.88805556,44.66083333
64,VLN,CY,-104.88972222,50.66694444
65,VLR,CY,-98.72368333,50.42235556
66,VLV,CY,-70.84603889,45.92505556
67,WT,CY,-80.37938333,43.45858333
68,XBG,CY,-70.99555556,48.32944444
69,XL,CY,-91.89860278,50.11771944
70,YAN,CY,-84.59111111,49.77805556
71,YAY,CY,-56.08375,51.39391944
72,YBC,CY,-68.22203056,49.13402222
73,YBK,CY,-96.10464167,64.32143333
74,YBR,CY,-99.945675,49.90988889
75,YBW,CY,-114.38186944,51.10737222
76,YCB,CY,-105.17271667,69.11744722
77,YCF,CY,-77.70459167,44.33309167
78,YDC,CY,-120.37377778,49.38154167
79,YDF,CY,-57.21328056,49.23236389
80,YDN,CY,-100.05234167,51.10493333
81,YDR,CY,-102.54031667,50.36294444
82,YEA,CY,-109.98954722,50.92613611
83,YEE,CY,-79.79320833,44.5818
84,YEG,CY,-113.86684167,53.18558056
85,YEV,CY,-133.54826111,68.30806944
86,YFB,CY,-68.47333333,63.74166667
87,YFC,CY,-66.41890278,45.89478333
88,YFS,CY,-121.29876389,61.773875
89,YGH,CY,-128.62305,66.23626389
90,YGL,CY,-77.71623333,53.62551111
91,YGP,CY,-64.40466667,48.76313889
92,YGQ,CY,-86.98432222,49.76971944
93,YGR,CY,-61.77393056,47.43016667
